Flow (cfs),WUA (sqft),race,segment,stage,acres
3250,3480427,fall-run ,6,spawning,79.8996009461
3500,3549489,fall-run ,6,spawning,81.4850565761
3750,3610898,fall-run ,6,spawning,82.8948095135
4000,3650721,fall-run ,6,spawning,83.8090241933
4250,3645114,fall-run ,6,spawning,83.680313827
4500,3679689,fall-run ,6,spawning,84.474024482
4750,3718361,fall-run ,6,spawning,85.3618245377
5000,3696564,fall-run ,6,spawning,84.8614319817
5250,3696291,fall-run ,6,spawning,84.8551656144
5500,3671212,fall-run ,6,spawning,84.2794262376
6000,3599976,fall-run ,6,spawning,82.6440860029
6500,3483447,fall-run ,6,spawning,79.9689450432
7000,3370160,fall-run ,6,spawning,77.3682325018
7500,3255056,fall-run ,6,spawning,74.725809779
8000,3116437,fall-run ,6,spawning,71.5435398374
9000,2849192,fall-run ,6,spawning,65.4084526145
10000,2600386,fall-run ,6,spawning,59.6966401088
11000,2280897,fall-run ,6,spawning,52.3621867188
12000,1981308,fall-run ,6,spawning,45.4845775763
13000,1701120,fall-run ,6,spawning,39.0523384116
14000,1475557,fall-run ,6,spawning,33.8741195508
15000,1298679,fall-run ,6,spawning,29.8135565869
17000,1040711,fall-run ,6,spawning,23.8914290765
19000,876226,fall-run ,6,spawning,20.1153782151
21000,745801,fall-run ,6,spawning,17.1212263672
23000,650402,fall-run ,6,spawning,14.9311707895
25000,585995,fall-run ,6,spawning,13.4525882311
27000,535400,fall-run ,6,spawning,12.2910854132
29000,472535,fall-run ,6,spawning,10.8479140697
31000,413987,fall-run ,6,spawning,9.5038410307
3250,1871071.94285135,fall-run ,6,fry,42.953901351
3500,1821872.56015786,fall-run ,6,fry,41.8244389384
3750,1830153.91196966,fall-run ,6,fry,42.0145526164
4000,1798253.8510622,fall-run ,6,fry,41.2822279858
4250,1750173.20405301,fall-run ,6,fry,40.1784482106
4500,1690021.14940886,fall-run ,6,fry,38.797547048
4750,1617680.644303,fall-run ,6,fry,37.1368375643
5000,1542592.57832736,fall-run ,6,fry,35.4130527623
5250,1477781.18744754,fall-run ,6,fry,33.9251879579
5500,1419446.4558871,fall-run ,6,fry,32.5860067926
6000,1328088.08737012,fall-run ,6,fry,30.4887072399
6500,1279830.98300073,fall-run ,6,fry,29.3808765611
7000,1235056.93441339,fall-run ,6,fry,28.3530058405
7500,1164276.39104038,fall-run ,6,fry,26.7281081506
8000,1120680.4533974,fall-run ,6,fry,25.7272831358
9000,1091836.35483111,fall-run ,6,fry,25.0651137473
10000,1092181.21250462,fall-run ,6,fry,25.0730305901
11000,1085512.91073067,fall-run ,6,fry,24.9199474456
12000,1101041.7348638,fall-run ,6,fry,25.2764401943
13000,1118018.72958709,fall-run ,6,fry,25.6661783652
14000,1142898.40518956,fall-run ,6,fry,26.2373371256
15000,1167580.32430413,fall-run ,6,fry,26.8039560217
17000,1220225.23581628,fall-run ,6,fry,28.012516892
19000,1222739.22371971,fall-run ,6,fry,28.0702301129
21000,1264408.57458316,fall-run ,6,fry,29.0268267811
23000,1270853.82708142,fall-run ,6,fry,29.1747894188
25000,1282881.67863971,fall-run ,6,fry,29.4509108962
27000,1305362.05715007,fall-run ,6,fry,29.9669893744
29000,1295422.05842983,fall-run ,6,fry,29.7387984029
31000,1311020.02086708,fall-run ,6,fry,30.0968783486
3250,737923.653556692,fall-run ,6,parr,16.9403960872
3500,724645.820420168,fall-run ,6,parr,16.6355789812
3750,711650.046197912,fall-run ,6,parr,16.3372370569
4000,701788.905566372,fall-run ,6,parr,16.110856418
4250,699887.026577346,fall-run ,6,parr,16.0671952841
4500,693065.882073355,fall-run ,6,parr,15.9106033534
4750,680685.144393232,fall-run ,6,parr,15.6263807253
5000,682988.120694363,fall-run ,6,parr,15.6792497864
5250,653404.565980819,fall-run ,6,parr,15.0001048205
5500,641175.423079325,fall-run ,6,parr,14.7193623296
6000,618595.012307381,fall-run ,6,parr,14.2009874267
6500,598027.986705413,fall-run ,6,parr,13.7288334873
7000,571258.858409861,fall-run ,6,parr,13.1142988616
7500,547104.909467691,fall-run ,6,parr,12.5598004928
8000,522552.171840018,fall-run ,6,parr,11.9961471956
9000,479916.476493234,fall-run ,6,parr,11.0173663107
10000,443697.626296934,fall-run ,6,parr,10.1858959205
11000,416947.8308716,fall-run ,6,parr,9.5718051164
12000,391166.346297562,fall-run ,6,parr,8.9799436707
13000,381510.949865576,fall-run ,6,parr,8.7582862687
14000,368483.571009454,fall-run ,6,parr,8.4592188019
15000,362138.524004747,fall-run ,6,parr,8.3135565658
17000,370957.566773352,fall-run ,6,parr,8.5160139296
19000,370428.330897221,fall-run ,6,parr,8.5038643457
21000,360256.141539732,fall-run ,6,parr,8.2703430106
23000,359714.897415507,fall-run ,6,parr,8.2579177552
25000,362963.261808365,fall-run ,6,parr,8.3324899405
27000,366316.677939611,fall-run ,6,parr,8.4094737819
29000,356545.250858945,fall-run ,6,parr,8.1851526827
31000,372257.734154583,fall-run ,6,parr,8.5458616656
